filename,frame_index,timestamp_seconds,source_video
dataset\VideoOneShorten\frames\frame_000160.png,160,26.666666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000161.png,161,26.833333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000162.png,162,27.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000163.png,163,27.166666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000164.png,164,27.333333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000165.png,165,27.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000166.png,166,27.666666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000167.png,167,27.833333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000168.png,168,28.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000169.png,169,28.166666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000170.png,170,28.333333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000171.png,171,28.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000172.png,172,28.666666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000173.png,173,28.833333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000174.png,174,29.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000175.png,175,29.166666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000176.png,176,29.333333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000177.png,177,29.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000178.png,178,29.666666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000179.png,179,29.833333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000180.png,180,30.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000181.png,181,30.166666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000182.png,182,30.333333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000183.png,183,30.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000184.png,184,30.666666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000185.png,185,30.833333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000186.png,186,31.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000187.png,187,31.166666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000188.png,188,31.333333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000189.png,189,31.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000190.png,190,31.666666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000191.png,191,31.833333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000192.png,192,32.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000193.png,193,32.166666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000194.png,194,32.333333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000195.png,195,32.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000196.png,196,32.666666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000197.png,197,32.833333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000198.png,198,33.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000199.png,199,33.166666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000200.png,200,33.333333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000201.png,201,33.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000202.png,202,33.666666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000203.png,203,33.833333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000204.png,204,34.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000205.png,205,34.166666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000206.png,206,34.333333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000207.png,207,34.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000208.png,208,34.666666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000209.png,209,34.833333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000210.png,210,35.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000211.png,211,35.166666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000212.png,212,35.333333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000213.png,213,35.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000214.png,214,35.666666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000215.png,215,35.833333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000216.png,216,36.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000217.png,217,36.166666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000218.png,218,36.333333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000219.png,219,36.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000220.png,220,36.666666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000221.png,221,36.833333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000222.png,222,37.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000223.png,223,37.166666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000224.png,224,37.333333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000225.png,225,37.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000226.png,226,37.666666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000227.png,227,37.833333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000228.png,228,38.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000229.png,229,38.166666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000230.png,230,38.333333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000231.png,231,38.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000232.png,232,38.666666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000233.png,233,38.833333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000234.png,234,39.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000235.png,235,39.166666666666664,videos\VideoOneShorten.mp4
